seaTurtleId,seaTurtleName,sidNumber,strandingIdNumber,species,dateAcquired,acquiredFrom,turtleSize,status,dateRelinquished,relinquishedTo,anomalies,injuryBoatStrike,injuryIntestinalImpaction,injuryLineEntanglement,injuryFishHook,injuryUpperRespiratory,injuryAnimalBite,injuryFibropapilloma,injuryMiscEpidemic,injuryDoa,injuryOther,wasCarryingTagsWhenEnc,recaptureType,tagReturnAddress,captureProjectType,acquiredCounty,acquiredLatitude,acquiredLongitude,relinquishedCounty,relinquishedLatitude,relinquishedLongitude,organizationId
592e33ac-e59d-4775-9562-bd207ba7e51c,Cm0768,7262,AAR071202-02,CM,2007-12-02,brevard cty,Juvenile,UR,2007-12-13,tx to juno,red tide,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,b225dd24-1d37-4252-b989-e342a690968b
2ef1b290-50a1-43db-9b07-a1300d71aa1b,Cm0769,7263,DBH071202-01,CM,2007-12-02,brevard cty,Juvenile,UR,2008-01-09,tx to disney,red tide,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,b225dd24-1d37-4252-b989-e342a690968b
3d42c5fe-1b82-45b9-90ce-b057de2688ec,Cm0770,7264,DBH071202-04,CM,2007-12-02,brevard cty,Juvenile,UR,2008-01-09,tx to disney,red tide,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,b225dd24-1d37-4252-b989-e342a690968b
5cd1e25a-8741-437b-853c-1958d3162c92,Cm0771,7265,DBH071202-03,CM,2007-12-02,bravard cty,Juvenile,UR,2008-01-09,tx to disney,red tide,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,b225dd24-1d37-4252-b989-e342a690968b
1273a98d-5cfc-4eb6-a09c-9fa75f575d95,Cm0772,7266,DAB071202-01,CM,2007-12-02,brevard,Juvenile,UR,2008-01-09,tx to disney,red tide,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,b225dd24-1d37-4252-b989-e342a690968b
dd377fc4-80ff-4adc-bcdf-8f36576e2969,Cm0773,7267,DBH071202-06,CM,2007-12-02,Indian Harbor Beach,Juvenile,UR,2008-01-16,Paradise Beach,red tide,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,Brevard,,,Brevard,,,b225dd24-1d37-4252-b989-e342a690968b
df9092be-c16d-45ae-9f59-7b3e391cdf6d,Cm0774,7268,AAR071202-03,CM,2007-12-02,Satellite Beach,Juvenile,UR,2008-01-16,Paradise Beach,red tide,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,Brevard,,,Brevard,,,b225dd24-1d37-4252-b989-e342a690968b
630741ed-25e4-448c-b85b-86910bb4bc7b,Cm0775,7269,DBH071202-09,CM,2007-12-02,Milennium Park,Juvenile,UR,2008-01-16,Paradise Beach,red tide,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,Brevard,,,Brevard,,,b225dd24-1d37-4252-b989-e342a690968b
747464a8-a7ae-41bd-8fc0-b18f0fd0a5a6,Cm0776,7270,DBH071202-08,CM,2007-12-02,brevard cty,Juvenile,UR,2007-12-24,tx disney,red tide,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,b225dd24-1d37-4252-b989-e342a690968b
54583149-9c64-4b6a-abe0-0d101d94ba9f,Cm0777,7271,DBH071202-07,CM,2007-12-02,brevard cty,Juvenile,UR,2007-12-24,tx disney,red tide,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,b225dd24-1d37-4252-b989-e342a690968b
b6834822-0edc-4c6b-8a18-0512fdfb7ff1,Cm0778,7283,AAR071203-02,CM,2007-12-03,brevard cty,Juvenile,UR,2007-12-24,tx disney,red tide,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,b225dd24-1d37-4252-b989-e342a690968b
19e79adf-2209-4586-a8dd-22cca6401c04,Cm0779,7284,DBH071203-02,CM,2007-12-03,melbourne beach,Juvenile,UR,2008-01-16,Paradise Beach,RED TIDE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,Brevard,,,Brevard,,,b225dd24-1d37-4252-b989-e342a690968b
76f79ca3-7ec9-42ac-b6a6-1b4b1df340c5,Cm0780,7285,DBH071202-10,CM,2007-12-03,BREVARD CTY,Juvenile,UR,2007-12-13,tx to juno,RED TIDE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,b225dd24-1d37-4252-b989-e342a690968b
7f8646f5-0956-408c-9e00-a568e3b8e729,Cm0781,7286,DBH011203-01,CM,2007-12-03,BREVARD CTY,Juvenile,UR,2007-12-13,tx to juno,RED TIDE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,b225dd24-1d37-4252-b989-e342a690968b
95e2f7fe-2c3e-4146-8b49-2557e948c404,Cc0782,7288,MLB071210-01,CC,2007-12-10,Volusia cty ormond by the sea,Subadult,UR,2007-12-13,transferred clearwater,barnacle bill,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,b225dd24-1d37-4252-b989-e342a690968b
a94108b0-dfa0-4bec-ab33-33717a08661d,Cm0783,7289,TWW071210-01,CM,2007-12-10,Indian River Cty,Juvenile,UR,2007-12-13,transferred to clearwater,pap turtle,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,b225dd24-1d37-4252-b989-e342a690968b
21949271-3895-4dc1-a90e-30d75d0c84e4,Cm0782,7288,MLB071210-01,CC,2007-12-10,volusia ormond by the sea,Subadult,UR,2007-12-13,tx to clearwater,barnacle bill,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,b225dd24-1d37-4252-b989-e342a690968b
83d39b37-5dab-43c7-a1ba-abd1b7336a16,Cc0784,7291,MLB071214-01,CC,2007-12-14,"Volusia Cty, NSB",Subadult,UR,2008-01-15,died,"severe barnacle coverage, low hr, possible neurotoxin",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,b225dd24-1d37-4252-b989-e342a690968b
b0b67b1c-567f-4bdb-85c9-75f3d3786713,Cm0785,7292,MLB071215-01,CM,2007-12-18,New Smyrna Beach,Juvenile,UR,2008-01-16,Paradise Beach,possible red tide,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,Volusia,,,Brevard,,,b225dd24-1d37-4252-b989-e342a690968b
12714843-b65a-44b5-9e86-e42c9bab95cd,Cm0786,7293,RDP071215-01,CM,2007-12-15,cocoa beach,Juvenile,UR,2008-01-16,Paradise Beach,possible red tide,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,Brevard,,,Brevard,,,b225dd24-1d37-4252-b989-e342a690968b
6ab82cfe-eba0-456c-b700-246e452d5dc0,Cm0787,7294,MLB071215-02,CM,2007-12-15,"volusia cty, wilbur by the sea",Juvenile,UR,2008-03-21,"pelican bay, satellite beach",possible red tide,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,Brevard,,,b225dd24-1d37-4252-b989-e342a690968b
1f2331eb-ac15-4bb5-aafa-6602af3b030c,Cm0788,7295,DBH071215-01,CM,2007-12-15,cocoa beach,Juvenile,UR,2008-01-16,Paradise Beach,possible red tide,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,Brevard,,,Brevard,,,b225dd24-1d37-4252-b989-e342a690968b
