seaTurtleMorphometricId,seaTurtleId,dateMeasured,sclSNotchNotchValue,sclNotchNotchUnits,sclNotchTipValue,sclNotchTipUnits,sclTipTipValue,sclTipTipUnits,scwValue,scwUnits,cclNotchNotchValue,cclNotchNotchUnits,cclNotchTipValue,cclNotchTipUnits,cclTipTipValue,cclTipTipUnits,ccwValue,ccwUnits,weightValue,weightUnits
8e71e7a6-60c0-4b6b-b5fc-b847b9d08da0,dd377fc4-80ff-4adc-bcdf-8f36576e2969,2008-01-16,28.4,cm,28.6,cm,0,,22.8,cm,31.2,cm,31.5,cm,0,,26,cm,3.15,kg
9d0c6623-5dbf-4611-8a6c-8ae9f38a141f,df9092be-c16d-45ae-9f59-7b3e391cdf6d,2008-01-16,29.3,cm,29.7,cm,0,,23.1,cm,31.4,cm,31.8,cm,0,,26.8,cm,3.48,kg
ceeb0b2a-988b-49d7-9e57-27c026dcedd5,19e79adf-2209-4586-a8dd-22cca6401c04,2008-01-16,28.4,cm,29.1,cm,0,,22.9,cm,29.5,cm,29.9,cm,0,,25.1,cm,2.75,kg
497ab70c-4afb-4177-9b7b-a27465511a5e,1c02648b-6728-4770-8023-fc2664baaf1e,2008-01-21,31.9,cm,32.6,cm,0,,26.7,cm,34.3,cm,35.1,cm,0,,30.6,cm,3.75,kg
94cce870-74a1-420f-9dde-33a97e3be82e,97c653d6-251a-4869-a4df-369c0c9cb9af,2008-01-25,79.3,cm,80.2,cm,0,,62.9,cm,86.2,cm,87.1,cm,0,,80,cm,52.6,kg
391c5785-79bf-4922-b30e-b2e3bc796366,52dfa471-bf2a-4cf5-9fac-0727e27ac3fb,2007-06-05,38.5,cm,39.2,cm,0,,31.1,cm,40.2,cm,41,cm,0,,33.6,cm,6.8,kg
30cfc629-2631-4b9b-9ff3-a254041270fc,52dfa471-bf2a-4cf5-9fac-0727e27ac3fb,2007-06-27,0,,0,,0,,0,,0,,0,,0,,0,,6.55,kg
a10f5fa8-81e5-4b51-aa12-1747b10e36c0,52dfa471-bf2a-4cf5-9fac-0727e27ac3fb,2007-07-04,0,,0,,0,,0,,0,,0,,0,,0,,6.4,kg
0cccf1a2-bdad-4275-9a99-b0986f83f5c8,52dfa471-bf2a-4cf5-9fac-0727e27ac3fb,2007-07-11,0,,0,,0,,0,,0,,0,,0,,0,,6.25,kg
ba2e8a0e-e63a-4005-8d02-90e288128b2e,52dfa471-bf2a-4cf5-9fac-0727e27ac3fb,2007-07-18,0,,0,,0,,0,,0,,0,,0,,0,,6.55,kg
