seaTurtleId|seaTurtleName|sidNumber|strandingIdNumber|species|dateAcquired|acquiredFrom|turtleSize|status|dateRelinquished|relinquishedTo|anomalies|injuryBoatStrike|injuryIntestinalImpaction|injuryLineEntanglement|injuryFishHook|injuryUpperRespiratory|injuryAnimalBite|injuryFibropapilloma|injuryMiscEpidemic|injuryDoa|injuryOther|wasCarryingTagsWhenEnc|recaptureType|tagReturnAddress|captureProjectType|didTurtleNest|captureProjectOther|acquiredCounty|acquiredLatitude|acquiredLongitude|relinquishedCounty|relinquishedLatitude|relinquishedLongitude|inspectedForTagScars|tagScarsLocated|scannedForPitTags|pitTagsScanFrequency|scannedForMagneticWires|magneticWiresLocated|inspectedForLivingTags|livingTagsLocated|brochureComments|brochureBackgroundColor|brochureImageFileAttachmentId
9415F8FE-BCB7-4B6C-BE92-0D0A2F9DC9F2|Cm0707 Fleming|7009|KAR070125-01|CM|2007-01-25|stranding - brevard cty|Juvenile|UR|2007-05-19|released|URI, barnacle over barnacle coverage|N|N|N|N|Y|N|N|N|N|N||||||||||||||||||||||-1|
3FCEC9C4-30BF-426C-AE09-6074B9CDA76A|Cc0709 Coleman|7027|EPD070222-01|CC|2007-02-23|stranding - st lucie cty|Subadult|UR|2007-05-16|released|shell impacted, anemic|N|Y|N|N|N|N|N|N|N|N||||||||||||||||||||||-1|
5AAAF06E-5283-4910-8C4C-19C0E2BBFCA7|Cm0714 Mydas|7046|MLB070319-02|CM|2007-03-19|stranding - flagler cty|Juvenile|UR|2007-05-16|released|deficated plastic and balloon|N|Y|N|N|N|N|N|N|N|N||||||||||||||||||||||-1|
C575CE71-BA8D-429B-A852-B27F8E591F15|Ei0710|7073|BEL070301-01|EI|2007-03-05|stranding - volusia cty|Post-hatchling|UR|2007-04-03|released||N|N|N|N|N|N|N|N|N|Y||||||||||||||||||||||-1|
1ACE8955-FD5F-4991-93C7-9B41DA310539|EI0719|7051|DBH070324-01|EI|2007-03-24|stranding - brevard cty|Post-hatchling|UR|2007-03-31|died||N|N|N|N|N|N|N|N|N|Y||||||||||||||||||||||-1|
6D3FD16B-8D18-4B01-9D57-6DCDB98D44AE|Ei0717 lil john|7048|MLB070323-01|EI|2007-03-23|stranding - volusia cty|Juvenile|UR|2007-07-15|died|left side float and overexpanded lung|N|N|N|N|Y|N|N|N|N|Y||||||||||||||||||||||-1|
78B1A93A-60B2-420D-807D-08AD015625E9|Ei0721|7053|MLB0727-01|EI|2007-03-27|stranding - volusia cty|Post-hatchling|UR|2007-04-03|||N|N|N|N|N|N|N|N|N|Y||||||||||||||||||||||-1|
DD9E90BA-5056-461C-BF33-C14F639BD730|Cc0720|7052|MLB070325-01|CC|2007-03-25|stranding - volusia cty|Subadult|UR|2007-04-13|died|severly emaciated, sternum through plastron, severly anemic|N|Y|N|N|N|N|N|N|N|N||||||||||||||||||||||-1|
4971F76F-8B34-4DB9-BEDB-C841A3A0A5D0|Cc0711 Dracul|7035|MLB070313-01|CC|2007-03-13|stranding - volusia|Subadult|UR|2007-04-23|died|severly emaciated, barnacle encrusted, shell impacted|N|Y|N|N|N|N|N|N|N|N||||||||||||||||||||||-1|
244E46B5-05CC-4AE6-A81C-E49E312AF07E|Cc0718 Brutus|7050|MLB070323-02|CC|2007-03-23|stranding - volusia cty|Subadult|UR|2007-06-08|released|barnacle encrusted, shell impacted, emaciated, hypoglycemic|N|Y|N|N|N|N|N|N|N|N||||||||||||||||||||||-1|
07C1762D-C50E-4BC4-884A-F4185DAB1DC7|Cc0702|7002||CC|2007-01-12|stranding - flagler|Subadult|UR|2007-01-12|died|barnacle bill, emaciated|N|Y|N|N|N|N|N|N|N|N||||||||||||||||||||||-1|
A68002FA-D7C4-4528-8CBC-B29DF73D7A61|Cc0703 Gussy|7003||CC|2007-01-12|stranding - volusia|Subadult|UR|2007-01-26|died|barnacle bill, emaciated|N|Y|N|N|N|N|N|N|N|N||||||||||||||||||||||-1|
